genre,year,tot_nasales,tot_eusales,tot_jpsales,tot_othersales,tot_globalsales
Action,2001,31.40,19.93,5.95,4.42,61.70
Racing,2001,29.54,17.91,3.93,4.54,55.91
Sports,2001,29.43,14.28,3.90,4.63,52.23
Platform,2001,21.61,11.62,3.42,2.56,39.16
Shooter,2001,16.16,7.79,0.53,1.72,26.18
Role-Playing,2001,6.44,4.12,9.22,0.87,20.68
Fighting,2001,9.75,5.15,2.56,1.20,18.67
Misc,2001,10.94,4.42,1.26,0.97,17.59
Simulation,2001,7.26,3.47,3.77,1.01,15.50
Adventure,2001,3.92,3.67,0.59,0.48,8.64
Puzzle,2001,5.22,1.84,0.83,0.18,8.13
Strategy,2001,3.20,0.99,2.79,0.23,7.22
Action,2002,47.92,27.03,5.19,6.75,87.00
Sports,2002,35.83,19.36,4.69,6.27,66.25
Shooter,2002,28.82,15.06,1.02,3.82,48.82
Role-Playing,2002,20.81,9.65,14.80,1.77,47.04
Platform,2002,26.87,12.41,4.64,2.44,46.37
Racing,2002,18.88,9.20,0.20,2.67,31.01
Fighting,2002,14.10,6.29,3.34,1.60,25.43
Misc,2002,9.86,4.13,2.90,1.20,18.12
Adventure,2002,4.72,2.51,2.94,0.63,10.76
Puzzle,2002,3.41,1.41,0.17,0.34,5.34
Simulation,2002,2.43,0.88,0.75,0.26,4.32
Strategy,2002,1.05,0.53,2.40,0.14,4.15
Action,2003,37.74,20.84,4.19,5.16,67.88
Sports,2003,32.60,14.45,4.00,4.54,55.73
Racing,2003,28.25,17.65,2.83,4.62,53.36
Platform,2003,25.31,12.47,2.22,2.78,42.86
Role-Playing,2003,13.79,5.41,9.63,1.12,29.92
Shooter,2003,16.11,8.45,0.21,2.21,27.01
Misc,2003,10.71,7.46,3.58,2.04,23.82
Fighting,2003,13.32,5.78,2.95,1.74,23.73
Simulation,2003,9.33,5.22,1.46,1.04,17.04
Strategy,2003,2.90,1.37,1.56,0.27,6.13
Puzzle,2003,0.93,0.28,1.14,0.07,2.42
Adventure,2003,0.96,0.54,0.43,0.16,2.10
Action,2004,38.67,15.98,4.79,16.17,75.72
Sports,2004,43.00,17.45,4.42,7.00,71.90
Role-Playing,2004,21.48,10.48,13.49,2.18,47.62
Racing,2004,21.49,12.00,1.61,11.11,46.14
Shooter,2004,27.93,12.40,0.57,3.13,44.04
Platform,2004,21.27,8.94,4.86,1.85,36.92
Misc,2004,17.05,9.44,2.20,2.13,30.98
Fighting,2004,9.94,4.12,1.34,1.36,16.78
Simulation,2004,5.06,3.31,0.48,0.93,9.74
Adventure,2004,4.89,2.12,1.23,0.31,8.61
Strategy,2004,2.90,1.20,2.04,0.35,6.53
Puzzle,2004,2.81,1.01,0.94,0.36,5.13
Action,2005,50.54,23.18,5.71,8.32,87.85
Sports,2005,36.48,14.90,3.52,6.11,61.02
Shooter,2005,28.47,9.14,1.37,3.24,42.24
Misc,2005,20.97,8.61,2.07,3.47,35.23
Racing,2005,20.46,8.45,0.25,3.48,32.66
Role-Playing,2005,10.03,4.67,7.62,1.95,24.29
Fighting,2005,10.19,4.45,1.97,1.79,18.45
Platform,2005,11.51,3.58,0.26,0.86,16.28
