company,genre,year,tot_nasales,tot_eusales,tot_jpsales,tot_othersales,tot_globalsales,rank
SONY,Action,2001,20.72,15.35,4.90,3.90,44.88,1
SONY,Racing,2001,21.07,14.29,2.37,3.98,41.72,2
SONY,Sports,2001,20.84,11.89,3.36,4.32,40.36,3
SONY,Action,2002,23.42,18.03,2.53,5.64,49.61,1
SONY,Sports,2002,20.91,14.75,3.76,5.71,45.09,2
SONY,Shooter,2002,15.59,10.35,0.82,3.27,30.11,3
SONY,Action,2003,18.43,13.64,3.94,4.37,40.32,1
SONY,Sports,2003,17.57,10.35,2.97,3.92,34.85,2
SONY,Racing,2003,11.90,11.31,1.34,3.91,28.42,3
SONY,Sports,2004,27.73,13.83,3.73,6.32,51.58,1
SONY,Action,2004,20.83,9.54,4.07,15.38,49.91,2
SONY,Racing,2004,13.53,8.45,1.50,10.75,34.19,3
SONY,Action,2005,28.67,15.29,4.62,7.13,55.74,1
SONY,Sports,2005,22.88,11.11,2.75,5.41,42.14,2
SONY,Racing,2005,14.09,5.74,0.13,3.04,23.01,3
Nintendo,Sports,2006,44.28,29.42,3.94,8.64,86.30,1
Nintendo,Misc,2006,19.00,10.86,4.31,3.49,37.70,2
SONY,Sports,2006,18.26,8.36,3.84,4.89,35.32,3
Nintendo,Sports,2007,21.02,15.81,4.91,4.40,46.10,1
SONY,Action,2007,19.67,10.71,3.19,10.06,43.68,2
SONY,Sports,2007,16.48,6.81,3.65,8.86,35.77,3
SONY,Action,2008,26.04,17.79,4.98,11.65,60.36,1
MICROSOFT,Action,2008,25.71,13.24,0.48,4.16,43.61,2
Nintendo,Racing,2008,19.24,14.66,3.85,3.80,41.56,3
Nintendo,Sports,2009,45.42,28.36,6.71,7.71,88.17,1
SONY,Action,2009,26.39,16.56,4.82,9.69,57.39,2
Nintendo,Misc,2009,20.47,10.03,0.94,2.93,34.47,3
SONY,Action,2010,21.07,15.90,5.96,7.18,50.21,1
Nintendo,Misc,2010,25.26,14.21,3.00,3.76,46.20,2
MICROSOFT,Shooter,2010,26.43,11.12,0.57,3.42,41.58,3
SONY,Action,2011,17.01,17.01,6.63,6.65,47.29,1
MICROSOFT,Shooter,2011,27.59,13.62,0.55,4.02,45.81,2
SONY,Shooter,2011,16.83,15.98,1.88,5.59,40.25,3
SONY,Action,2012,16.32,17.56,6.93,7.56,48.38,1
MICROSOFT,Shooter,2012,22.56,11.61,0.29,3.04,37.50,2
MICROSOFT,Action,2012,18.22,12.81,0.36,2.97,34.36,3
SONY,Action,2013,20.13,23.81,5.66,9.86,59.41,1
MICROSOFT,Action,2013,24.39,13.84,0.16,3.56,41.96,2
SONY,Shooter,2013,11.99,12.29,1.48,4.22,30.02,3
SONY,Action,2014,18.25,24.27,3.80,9.26,55.60,1
SONY,Shooter,2014,11.06,14.14,0.95,5.49,31.62,2
MICROSOFT,Shooter,2014,18.48,9.92,0.12,2.45,31.00,3
SONY,Action,2015,11.88,15.24,5.17,5.28,37.59,1
SONY,Shooter,2015,12.95,15.12,1.18,5.53,34.78,2
SONY,Sports,2015,9.78,11.77,0.45,4.24,26.26,3
SONY,Shooter,2016,4.18,5.66,0.54,1.91,12.33,1
SONY,Sports,2016,2.57,5.52,0.58,1.56,10.23,2
SONY,Action,2016,2.90,3.79,1.17,1.29,9.13,3
