name,company,genre,year,global_sales
Gran Turismo 3: A-Spec,SONY,Racing,2001,14.98
Grand Theft Auto III,SONY,Action,2001,13.1
Final Fantasy X,SONY,Role-Playing,2001,8.05
Grand Theft Auto: Vice City,SONY,Action,2002,16.15
Pokemon Ruby/Pokemon Sapphire,Nintendo,Role-Playing,2002,15.85
Medal of Honor: Frontline,SONY,Shooter,2002,6.83
Need for Speed Underground,SONY,Racing,2003,7.2
Mario Kart: Double Dash!!,Nintendo,Racing,2003,6.95
Final Fantasy X-2,SONY,Role-Playing,2003,5.29
Grand Theft Auto: San Andreas,SONY,Action,2004,20.81
Gran Turismo 4,SONY,Racing,2004,11.66
Pokemon FireRed/Pokemon LeafGreen,Nintendo,Role-Playing,2004,10.49
Grand Theft Auto: Liberty City Stories,SONY,Action,2005,7.72
Madden NFL 06,SONY,Sports,2005,4.91
God of War,SONY,Action,2005,4.45
Wii Sports,Nintendo,Sports,2006,82.74
Wii Play,Nintendo,Misc,2006,29.02
The Legend of Zelda: Twilight Princess,Nintendo,Action,2006,7.31
Wii Fit,Nintendo,Sports,2007,22.72
Halo 3,MICROSOFT,Shooter,2007,12.14
Super Mario Galaxy,Nintendo,Platform,2007,11.52
Mario Kart Wii,Nintendo,Racing,2008,35.82
Super Smash Bros. Brawl,Nintendo,Fighting,2008,13.04
Grand Theft Auto IV,MICROSOFT,Action,2008,11.02
Wii Sports Resort,Nintendo,Sports,2009,33
New Super Mario Bros. Wii,Nintendo,Platform,2009,28.62
Wii Fit Plus,Nintendo,Sports,2009,22
Kinect Adventures!,MICROSOFT,Misc,2010,21.82
Call of Duty: Black Ops,MICROSOFT,Shooter,2010,14.64
Call of Duty: Black Ops,SONY,Shooter,2010,12.73
Call of Duty: Modern Warfare 3,MICROSOFT,Shooter,2011,14.76
Call of Duty: Modern Warfare 3,SONY,Shooter,2011,13.46
Mario Kart 7,Nintendo,Racing,2011,12.21
Call of Duty: Black Ops II,SONY,Shooter,2012,14.03
Call of Duty: Black Ops II,MICROSOFT,Shooter,2012,13.73
New Super Mario Bros. 2,Nintendo,Platform,2012,9.82
Grand Theft Auto V,SONY,Action,2013,21.4
Grand Theft Auto V,MICROSOFT,Action,2013,16.38
Pokemon X/Pokemon Y,Nintendo,Role-Playing,2013,14.35
Grand Theft Auto V,SONY,Action,2014,11.98
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,Role-Playing,2014,11.33
Call of Duty: Advanced Warfare,SONY,Shooter,2014,7.6
Call of Duty: Black Ops 3,SONY,Shooter,2015,14.24
FIFA 16,SONY,Sports,2015,8.49
Star Wars Battlefront (2015),SONY,Shooter,2015,7.67
FIFA 17,SONY,Sports,2016,4.77
Uncharted 4: A Thief's End,SONY,Shooter,2016,4.2
Tom Clancy's The Division,SONY,Shooter,2016,3.61
