company,year,tot_nasales,tot_eusales,tot_jpsales,tot_othersales,tot_globalsales
Nintendo,2001,59.25,23.24,16.73,3.04,102.34
MICROSOFT,2001,20.29,5.86,0.37,0.82,27.32
SONY,2001,95.33,66.09,21.65,18.95,201.95
SONY,2002,102.33,69.03,25.06,23.03,219.49
Nintendo,2002,77.79,27.63,17.49,3.14,126.39
MICROSOFT,2002,34.58,11.80,0.49,1.72,48.73
MICROSOFT,2003,39.65,13.53,0.30,1.92,55.52
Nintendo,2003,66.40,23.48,15.02,2.68,107.69
SONY,2003,85.90,62.91,18.88,21.15,188.79
Nintendo,2004,64.14,23.48,16.52,2.59,106.98
SONY,2004,103.88,60.35,21.25,42.16,227.63
MICROSOFT,2004,48.47,14.62,0.20,2.13,65.50
MICROSOFT,2005,48.02,15.59,0.42,3.21,67.38
Nintendo,2005,41.13,13.63,5.84,1.29,62.10
SONY,2005,111.58,52.40,19.18,26.53,209.75
SONY,2006,88.55,44.44,23.14,27.52,183.75
Nintendo,2006,91.72,51.13,11.94,15.23,170.24
MICROSOFT,2006,43.17,13.37,1.21,4.81,62.62
MICROSOFT,2007,63.36,22.71,1.52,8.76,96.41
SONY,2007,83.43,51.42,19.82,43.44,198.12
Nintendo,2007,87.34,45.61,12.12,13.84,159.14
Nintendo,2008,98.77,47.36,12.69,15.25,174.16
SONY,2008,93.17,58.27,22.41,42.11,215.76
MICROSOFT,2008,82.57,38.68,1.89,12.70,135.94
Nintendo,2009,116.54,59.36,16.57,17.79,210.44
SONY,2009,84.60,58.29,19.16,34.87,196.86
MICROSOFT,2009,73.97,33.91,1.95,11.09,120.85
Nintendo,2010,75.69,37.53,8.83,10.51,132.58
MICROSOFT,2010,107.21,47.42,2.11,14.21,171.05
SONY,2010,70.51,59.65,28.74,26.29,185.16
SONY,2011,66.98,59.69,27.76,23.32,177.73
Nintendo,2011,60.40,36.94,18.38,9.93,125.68
MICROSOFT,2011,86.70,43.85,1.78,12.75,145.12
SONY,2012,39.93,40.81,19.12,17.26,117.21
MICROSOFT,2012,58.32,33.17,1.06,8.27,100.88
Nintendo,2012,37.63,23.23,25.39,5.42,91.75
Nintendo,2013,30.39,24.55,27.11,5.00,87.08
SONY,2013,51.40,55.84,15.98,22.15,145.34
MICROSOFT,2013,64.93,33.85,0.45,8.94,108.21
SONY,2014,50.21,65.37,9.39,25.07,149.96
MICROSOFT,2014,50.50,30.83,0.22,7.32,88.85
Nintendo,2014,24.63,17.35,23.80,4.31,70.09
Nintendo,2015,13.16,10.54,18.80,2.40,44.92
MICROSOFT,2015,41.40,22.75,0.17,6.37,70.71
SONY,2015,45.52,57.86,9.98,20.21,133.64
SONY,2016,12.26,18.28,5.36,5.95,41.84
MICROSOFT,2016,7.05,5.03,0.01,1.12,13.20
Nintendo,2016,2.32,1.56,5.58,0.37,9.89
