genre,tot_nasales,tot_eusales,tot_jpsales,tot_othersales,tot_globalsales
Action,766.89,471.91,139.18,171.52,1550.09
Sports,657.89,356.51,124.42,129.97,1269.11
Shooter,531.14,287.14,33.08,96.65,948.34
Role-Playing,259.67,142.66,284.20,46.93,733.33
Platform,382.99,175.83,114.32,43.50,716.84
Racing,333.21,223.16,48.66,72.89,678.10
Misc,345.23,176.32,66.87,64.53,653.55
Fighting,213.94,98.49,71.21,35.74,419.38
Simulation,94.38,49.48,46.46,15.66,206.06
Adventure,75.57,45.02,35.76,12.21,168.73
Puzzle,74.54,22.90,40.35,5.81,143.84
Strategy,40.29,20.47,42.68,6.31,109.77
