company,genre,year,tot_nasales,tot_eusales,tot_jpsales,tot_othersales,tot_globalsales
MICROSOFT,Shooter,2001,7.58,1.96,0.08,0.20,9.83
MICROSOFT,Racing,2001,3.37,1.19,0.05,0.15,4.77
MICROSOFT,Sports,2001,2.50,0.63,0.00,0.12,3.25
MICROSOFT,Action,2001,2.11,0.88,0.00,0.12,3.10
MICROSOFT,Fighting,2001,1.75,0.44,0.24,0.08,2.49
MICROSOFT,Misc,2001,1.89,0.40,0.00,0.09,2.37
MICROSOFT,Platform,2001,0.79,0.26,0.00,0.04,1.09
MICROSOFT,Simulation,2001,0.30,0.10,0.00,0.02,0.42
Nintendo,Platform,2001,14.55,6.38,2.95,0.89,24.74
Nintendo,Action,2001,8.57,3.70,1.05,0.40,13.72
Nintendo,Racing,2001,5.10,2.43,1.51,0.41,9.42
Nintendo,Sports,2001,6.09,1.76,0.54,0.19,8.62
Nintendo,Fighting,2001,5.09,1.29,1.47,0.23,8.11
Nintendo,Puzzle,2001,5.11,1.77,0.83,0.17,7.94
Nintendo,Role-Playing,2001,1.61,0.62,4.16,0.09,6.50
Nintendo,Misc,2001,4.10,1.50,0.60,0.10,6.31
Nintendo,Strategy,2001,2.98,0.82,1.90,0.13,5.84
Nintendo,Simulation,2001,2.99,0.93,1.28,0.23,5.42
Nintendo,Adventure,2001,2.52,1.84,0.44,0.19,4.97
Nintendo,Shooter,2001,0.54,0.20,0.00,0.01,0.75
SONY,Action,2001,20.72,15.35,4.90,3.90,44.88
SONY,Racing,2001,21.07,14.29,2.37,3.98,41.72
SONY,Sports,2001,20.84,11.89,3.36,4.32,40.36
SONY,Shooter,2001,8.04,5.63,0.45,1.51,15.60
SONY,Role-Playing,2001,4.83,3.50,5.06,0.78,14.18
SONY,Platform,2001,6.27,4.98,0.47,1.63,13.33
SONY,Simulation,2001,3.97,2.44,2.49,0.76,9.66
SONY,Misc,2001,4.95,2.52,0.66,0.78,8.91
SONY,Fighting,2001,2.91,3.42,0.85,0.89,8.07
SONY,Adventure,2001,1.40,1.83,0.15,0.29,3.67
SONY,Strategy,2001,0.22,0.17,0.89,0.10,1.38
SONY,Puzzle,2001,0.11,0.07,0.00,0.01,0.19
MICROSOFT,Action,2002,7.90,2.98,0.19,0.41,11.50
MICROSOFT,Sports,2002,7.81,2.43,0.00,0.40,10.68
MICROSOFT,Shooter,2002,6.82,2.77,0.10,0.35,10.05
MICROSOFT,Racing,2002,3.50,0.93,0.08,0.14,4.67
MICROSOFT,Role-Playing,2002,2.26,0.68,0.08,0.12,3.14
MICROSOFT,Fighting,2002,2.05,0.55,0.01,0.09,2.74
MICROSOFT,Platform,2002,1.35,0.83,0.00,0.10,2.28
MICROSOFT,Simulation,2002,1.44,0.20,0.03,0.05,1.72
MICROSOFT,Misc,2002,0.68,0.20,0.00,0.03,0.90
MICROSOFT,Adventure,2002,0.63,0.19,0.00,0.03,0.86
MICROSOFT,Puzzle,2002,0.09,0.02,0.00,0.00,0.12
MICROSOFT,Strategy,2002,0.05,0.02,0.00,0.00,0.07
Nintendo,Platform,2002,18.22,6.50,3.35,0.77,28.83
Nintendo,Action,2002,16.60,6.02,2.47,0.70,25.89
Nintendo,Role-Playing,2002,11.78,5.37,7.69,0.75,25.58
Nintendo,Sports,2002,7.11,2.18,0.93,0.16,10.48
Nintendo,Misc,2002,6.09,2.03,1.04,0.21,9.41
Nintendo,Shooter,2002,6.41,1.94,0.10,0.20,8.66
Nintendo,Racing,2002,3.79,1.04,0.00,0.06,4.96
Nintendo,Fighting,2002,2.68,0.78,0.47,0.06,4.04
Nintendo,Adventure,2002,2.23,0.92,0.51,0.13,3.77
Nintendo,Puzzle,2002,2.16,0.65,0.12,0.06,3.01
Nintendo,Strategy,2002,0.54,0.15,0.32,0.03,1.04
Nintendo,Simulation,2002,0.18,0.05,0.49,0.01,0.72
SONY,Action,2002,23.42,18.03,2.53,5.64,49.61
SONY,Sports,2002,20.91,14.75,3.76,5.71,45.09
SONY,Shooter,2002,15.59,10.35,0.82,3.27,30.11
SONY,Racing,2002,11.59,7.23,0.12,2.47,21.38
SONY,Fighting,2002,9.37,4.96,2.86,1.45,18.65
SONY,Role-Playing,2002,6.77,3.60,7.03,0.90,18.32
SONY,Platform,2002,7.30,5.08,1.29,1.57,15.26
SONY,Misc,2002,3.09,1.90,1.86,0.96,7.81
SONY,Adventure,2002,1.86,1.40,2.43,0.47,6.13
SONY,Strategy,2002,0.46,0.36,2.08,0.11,3.04
SONY,Puzzle,2002,1.16,0.74,0.05,0.28,2.21
SONY,Simulation,2002,0.81,0.63,0.23,0.20,1.88
MICROSOFT,Sports,2003,9.04,2.44,0.14,0.44,12.12
MICROSOFT,Action,2003,7.74,2.92,0.07,0.39,11.11
MICROSOFT,Shooter,2003,7.04,2.60,0.01,0.36,10.01
MICROSOFT,Racing,2003,5.82,2.48,0.04,0.32,8.71
MICROSOFT,Role-Playing,2003,2.27,0.61,0.00,0.11,2.98
MICROSOFT,Platform,2003,1.88,0.83,0.01,0.10,2.83
MICROSOFT,Fighting,2003,2.13,0.56,0.03,0.06,2.75
MICROSOFT,Simulation,2003,2.02,0.60,0.00,0.09,2.71
MICROSOFT,Misc,2003,0.92,0.26,0.00,0.03,1.23
MICROSOFT,Strategy,2003,0.53,0.16,0.00,0.01,0.72
MICROSOFT,Puzzle,2003,0.17,0.05,0.00,0.01,0.23
MICROSOFT,Adventure,2003,0.09,0.02,0.00,0.00,0.12
Nintendo,Platform,2003,15.22,5.95,1.89,0.65,23.79
Nintendo,Action,2003,11.57,4.28,0.18,0.40,16.45
Nintendo,Racing,2003,10.53,3.86,1.45,0.39,16.23
Nintendo,Role-Playing,2003,7.55,2.54,5.25,0.38,15.70
Nintendo,Sports,2003,5.99,1.66,0.89,0.18,8.76
Nintendo,Misc,2003,4.66,1.69,1.90,0.22,8.48
Nintendo,Fighting,2003,3.99,1.22,0.97,0.21,6.36
Nintendo,Simulation,2003,2.93,1.06,0.39,0.14,4.52
Nintendo,Strategy,2003,1.54,0.54,0.52,0.04,2.65
Nintendo,Puzzle,2003,0.69,0.18,1.14,0.04,2.05
Nintendo,Shooter,2003,1.43,0.43,0.01,0.01,1.88
Nintendo,Adventure,2003,0.30,0.07,0.43,0.02,0.82
SONY,Action,2003,18.43,13.64,3.94,4.37,40.32
SONY,Sports,2003,17.57,10.35,2.97,3.92,34.85
SONY,Racing,2003,11.90,11.31,1.34,3.91,28.42
SONY,Platform,2003,8.21,5.69,0.32,2.03,16.24
SONY,Shooter,2003,7.64,5.42,0.19,1.84,15.12
SONY,Fighting,2003,7.20,4.00,1.95,1.47,14.62
SONY,Misc,2003,5.13,5.51,1.68,1.79,14.11
SONY,Role-Playing,2003,3.97,2.26,4.38,0.63,11.24
SONY,Simulation,2003,4.38,3.56,1.07,0.81,9.81
SONY,Strategy,2003,0.83,0.67,1.04,0.22,2.76
SONY,Adventure,2003,0.57,0.45,0.00,0.14,1.16
SONY,Puzzle,2003,0.07,0.05,0.00,0.02,0.14
MICROSOFT,Shooter,2004,14.34,4.00,0.05,0.44,18.81
MICROSOFT,Sports,2004,10.81,2.29,0.00,0.54,13.64
MICROSOFT,Action,2004,5.04,1.91,0.07,0.28,7.31
MICROSOFT,Racing,2004,4.73,2.24,0.00,0.26,7.22
MICROSOFT,Role-Playing,2004,4.36,1.37,0.00,0.21,5.95
MICROSOFT,Misc,2004,2.59,0.82,0.00,0.11,3.58
MICROSOFT,Fighting,2004,2.55,0.74,0.08,0.12,3.52
MICROSOFT,Platform,2004,1.50,0.44,0.00,0.07,2.01
MICROSOFT,Strategy,2004,1.16,0.34,0.00,0.05,1.57
MICROSOFT,Simulation,2004,0.93,0.32,0.00,0.04,1.27
MICROSOFT,Adventure,2004,0.40,0.14,0.00,0.01,0.55
MICROSOFT,Puzzle,2004,0.06,0.01,0.00,0.00,0.07
Nintendo,Role-Playing,2004,12.13,5.45,6.39,0.74,24.70
Nintendo,Platform,2004,10.53,3.53,4.52,0.51,19.12
Nintendo,Action,2004,12.80,4.53,0.65,0.51,18.50
Nintendo,Misc,2004,9.52,3.22,0.60,0.20,13.61
Nintendo,Sports,2004,4.46,1.33,0.69,0.14,6.68
Nintendo,Adventure,2004,3.69,1.35,1.18,0.09,6.38
Nintendo,Racing,2004,3.23,1.31,0.11,0.10,4.73
Nintendo,Shooter,2004,2.36,0.75,0.39,0.08,3.62
Nintendo,Puzzle,2004,1.73,0.63,0.62,0.05,3.04
Nintendo,Strategy,2004,1.09,0.34,0.94,0.05,2.43
Nintendo,Fighting,2004,1.27,0.40,0.43,0.05,2.14
Nintendo,Simulation,2004,1.33,0.64,0.00,0.07,2.03
SONY,Sports,2004,27.73,13.83,3.73,6.32,51.58
SONY,Action,2004,20.83,9.54,4.07,15.38,49.91
SONY,Racing,2004,13.53,8.45,1.50,10.75,34.19
SONY,Shooter,2004,11.23,7.65,0.13,2.61,21.61
SONY,Role-Playing,2004,4.99,3.66,7.10,1.23,16.97
SONY,Platform,2004,9.24,4.97,0.34,1.27,15.79
SONY,Misc,2004,4.94,5.40,1.60,1.82,13.79
SONY,Fighting,2004,6.12,2.98,0.83,1.19,11.12
SONY,Simulation,2004,2.80,2.35,0.48,0.82,6.44
SONY,Strategy,2004,0.65,0.52,1.10,0.25,2.53
SONY,Puzzle,2004,1.02,0.37,0.32,0.31,2.02
SONY,Adventure,2004,0.80,0.63,0.05,0.21,1.68
MICROSOFT,Shooter,2005,13.22,4.04,0.09,0.85,18.19
MICROSOFT,Action,2005,11.96,4.48,0.01,0.84,17.32
MICROSOFT,Sports,2005,8.62,2.26,0.03,0.54,11.46
MICROSOFT,Racing,2005,5.04,2.27,0.12,0.41,7.85
MICROSOFT,Misc,2005,3.14,0.64,0.01,0.26,4.10
MICROSOFT,Fighting,2005,1.53,0.42,0.10,0.09,2.15
MICROSOFT,Adventure,2005,1.07,0.37,0.00,0.03,1.49
MICROSOFT,Role-Playing,2005,1.00,0.38,0.00,0.06,1.44
MICROSOFT,Simulation,2005,0.91,0.22,0.06,0.04,1.26
MICROSOFT,Platform,2005,0.92,0.30,0.00,0.03,1.25
MICROSOFT,Strategy,2005,0.48,0.21,0.00,0.05,0.73
MICROSOFT,Puzzle,2005,0.13,0.00,0.00,0.01,0.14
Nintendo,Action,2005,9.91,3.41,1.08,0.35,14.79
Nintendo,Misc,2005,9.12,2.99,0.74,0.21,13.09
Nintendo,Platform,2005,6.21,2.06,0.14,0.17,8.64
Nintendo,Sports,2005,4.98,1.53,0.74,0.16,7.42
Nintendo,Role-Playing,2005,2.95,1.25,1.93,0.17,6.34
Nintendo,Adventure,2005,1.79,0.57,0.09,0.04,2.50
Nintendo,Shooter,2005,1.52,0.42,0.19,0.05,2.18
Nintendo,Fighting,2005,1.13,0.28,0.40,0.04,1.86
Nintendo,Racing,2005,1.33,0.44,0.00,0.03,1.80
Nintendo,Simulation,2005,1.22,0.40,0.05,0.04,1.69
Nintendo,Puzzle,2005,0.68,0.20,0.16,0.02,1.09
Nintendo,Strategy,2005,0.29,0.08,0.32,0.01,0.70
SONY,Action,2005,28.67,15.29,4.62,7.13,55.74
SONY,Sports,2005,22.88,11.11,2.75,5.41,42.14
SONY,Racing,2005,14.09,5.74,0.13,3.04,23.01
SONY,Shooter,2005,13.73,4.68,1.09,2.34,21.87
SONY,Misc,2005,8.71,4.98,1.32,3.00,18.04
SONY,Role-Playing,2005,6.08,3.04,5.69,1.72,16.51
SONY,Fighting,2005,7.53,3.75,1.47,1.66,14.44
SONY,Platform,2005,4.38,1.22,0.12,0.66,6.39
SONY,Simulation,2005,2.56,0.92,0.34,0.71,4.51
SONY,Adventure,2005,1.48,0.99,0.12,0.50,3.07
SONY,Strategy,2005,0.47,0.22,1.34,0.10,2.13
SONY,Puzzle,2005,1.00,0.46,0.19,0.26,1.90
MICROSOFT,Shooter,2006,11.07,3.97,0.31,1.48,16.84
MICROSOFT,Sports,2006,10.18,2.56,0.11,0.78,13.69
MICROSOFT,Action,2006,8.21,2.52,0.25,0.87,11.79
MICROSOFT,Role-Playing,2006,6.03,1.45,0.41,0.73,8.60
MICROSOFT,Racing,2006,2.82,1.09,0.04,0.34,4.30
MICROSOFT,Simulation,2006,1.30,1.02,0.03,0.27,2.63
MICROSOFT,Fighting,2006,2.24,0.14,0.05,0.17,2.59
MICROSOFT,Platform,2006,0.68,0.53,0.00,0.12,1.36
MICROSOFT,Strategy,2006,0.31,0.06,0.01,0.03,0.43
MICROSOFT,Misc,2006,0.26,0.02,0.00,0.02,0.31
MICROSOFT,Adventure,2006,0.03,0.01,0.00,0.00,0.04
MICROSOFT,Puzzle,2006,0.04,0.00,0.00,0.00,0.04
Nintendo,Sports,2006,44.28,29.42,3.94,8.64,86.30
Nintendo,Misc,2006,19.00,10.86,4.31,3.49,37.70
Nintendo,Action,2006,12.80,5.69,1.09,1.59,21.27
Nintendo,Racing,2006,5.64,1.54,0.15,0.46,7.77
Nintendo,Shooter,2006,2.14,0.93,0.08,0.31,3.48
